Name,Gen,Description
Courage Candy,VII,Increase a Pokémon'sSpecial Defenseby 1AVuntil it has reached 50AV's in the stat.
Courage Candy L,VII,Increase alevel30+ Pokémon'sSpecial Defenseby 1AVuntil it has reached 100AV's in the stat.
Courage Candy XL,VII,Increase alevel60+ Pokémon'sSpecial Defenseby 1AVuntil it has reached 200AV's in the stat.
Cover Fossil,V,A Fossil from which aTirtougacan be resurrected.
Covert Cloak,IX,Protects the holder from theadditional effectsof another Pokémon's damagingmoves.
Cracked Pot,VIII,Causes a Phony FormSinisteato evolve intoPolteageist.
Crafting Kit,VIII,Allows the player to craft items in the field.
Cream Cheese,IX,An ingredient forsandwiches.
Crown Pass,VIII,Allows access to theCrown TundrafromWedgehurstrailway station.
Crunchy Salt,VIII,Used to craftSalt CakesinHisuiand bait certain Pokémon.
Crystal Cluster,IX,Used to repairOgerpon'sTeal Mask.
Cubone Candy,VII,Increase all stats of a member of theCubonefamily by oneAVpoint.
Cry Analyzer,III,Detaches certain translators.
Cucumber,IX,An ingredient forsandwiches.
Curry Powder,IX,An ingredient forsandwiches.
Custap Berry,IV,Allows holder to move first just once when HP is below ⅓.
Cyber Ball,IX,One of the balls the player and their Pokémon can play with during apicnic.
Damp Mulch,IV,"Causes the soil to dry out more slowly, but also causes the Berry plant to grow more slowly."
Damp Rock,IV,Increases the duration ofheavy rain.
Dark Gem,V,"Increases the power of the holder's firstDark-typemove by 50%, and is consumed after use."
Dark Memory,VII,MakesSilvallyaDark-typePokémon and makesMulti-Attacka Dark-type move.
Dark Stone,V,Stone used to summonZekrom.
Dark Tera Shard,IX,Used to change theTera Typeof a Pokémon toDarktype.
Darkinium Z,VII,Allows a Pokémon to upgrade theirDark-typedamaging moves to theZ-MoveBlack Hole Eclipseor upgrade their Dark-type status moves into Z-Moves. MakesArceusa Dark-type Pokémon.
Data Cards,IV,"Record variousPokéathlonrecords, allowing the player to access records from a computer in thePokéathlon Dome."
Data ROM,III,Holds data onShadow Pokémon.
Dawn Stone,IV,AllowsKirlia(♂) andSnorunt(♀) to evolve.
Dazzling Honey,VIII,Used to craftHoney CakesinHisuiand bait certain Pokémon.
D-Disk,III,Moves the UFO inThe Underdownward intoDeep Colosseum.
Decidium Z,VII,AllowsDecidueyeto upgradeSpirit Shackleto the specialZ-MoveSinister Arrow Raid.
Deep Sea Scale,III,A hold item that allowsClamperlto evolve intoGorebysswhen traded.Note:Formatted asDeepSeaScaleprior to Generation VI.
Deep Sea Tooth,III,A hold item that allowsClamperlto evolve intoHuntailwhen traded.Note:Formatted asDeepSeaToothprior to Generation VI.
Destiny Knot,IV,Infatuates the foe if the holder becomes infatuated.
Devon Parts,III,To be delivered toCaptain Stern.Note:CalledDevon Goodsin Generation III.
Devon Scope,III,Reveals hidden Pokémon.
Devon Scuba Gear,VI,Worn whileunderwater.
Diamond Bottle,IX,One of the water bottles the player can use during apicnic.
Diamond Chairs,IX,One of the chair sets the player can use during apicnic.
Diamond Pattern Cup,IX,One of the cups the player can use during apicnic.
Diamond Tablecloth,IX,One of the tablecloths the player can use during apicnic.
Diancite,VI,AllowsDiancietoMega Evolveinto Mega Diancie.
Digger Drill,VIII,Used to create aSecret Basein theGrand Underground.
Diglett Candy,VII,Increase all stats of a member of theDiglettfamily by oneAVpoint.
Dire Hit,I,Raises critical hit ratio in battle.
Dire Hit,VIII,Raises critical hit ratio in battle. Only craftable in Hisui.
Dire Hit 2,V,Raises critical hit ratio by 2 levels in battle. Wonder Launcher only.
Dire Hit 3,V,Raises critical hit ratio by 3 levels in battle. Wonder Launcher only.
Direshroom,VIII,Used to craftDire HitsandChoice DumplingsinHisui.
Disc Case,III,HoldsBattle CDs.
Discount Coupon,VI,Used at any boutique for a one-time 50% discount.
Discovery Slate,VIII,Allows the player to fight thelegendary giantsin the Discovery Room.
Distortion Slate,VIII,Allows the player to fightOrigin FormeGiratinain the Distortion Room.
Ditto Candy,VII,Increase all stats of a member of theDittofamily by oneAVpoint.
Dive Ball,III,A type of Poké Ball that works better on Pokémon encountered underwaterRSEORASor whileSurfingorfishingFRLGDPPtHGSSBWB2W2XY.
DNA Sample,III,Used to deduce the code to a lock in the Shadow PKMN Lab.
DNA Splicers,V,"Combines and separatesKyuremwithReshiramorZekrom, transforming them into White Kyurem or Black Kyurem, respectively."
Doduo Candy,VII,Increase all stats of a member of theDoduofamily by oneAVpoint.
Dome Fossil,III,A Fossil from which aKabutocan be resurrected.
Doppel Bonnets,VIII,Used to craftAux EvasioninHisui.
Douse Drive,V,MakesTechno BlastaWater-typemove when held byGenesect.
Down St. Key,III,Allows the player to access the basement floor of the Shadow PKMN Lab.
Dowsing Machine,I,A Key Item that can be used to detect hidden items.Note:Referred to as theItemfinderprior to Generation IV and as theDowsing MCHNinPokémon HeartGold and SoulSilverand theGeneration Vgames.
Draco Plate,IV,Raises the power ofDragon-typemoves. Changes the moveJudgmenttoDragon-type.
Dragon Fang,II,Raises the power ofDragon-typemoves.
Dragon Gem,V,"Increases the power of the holder's firstDragon-typemove by 50%, and is consumed after use."
Dragon Memory,VII,MakesSilvallyaDragon-typePokémon and makesMulti-Attacka Dragon-type move.
Dragon Scale,II,A hold item that allowsSeadrato evolve when traded.
Dragon Skull,V,Stolen from the Nacrene Museum by aTeam Plasma Grunt.
Dragon Tera Shard,IX,Used to change theTera Typeof a Pokémon toDragontype.
Dragonium Z,VII,Allows a Pokémon to upgrade theirDragon-typedamaging moves to theZ-MoveDevastating Drakeor upgrade their Dragon-type status moves into Z-Moves. MakesArceusa Dragon-type Pokémon.
Drash Berry,III,CuresPoisonstatus. Will turn into anEnigma Berryif transferred toGeneration IVviaPal Park.
Dratini Candy,VII,Increase all stats of a member of theDratinifamily by oneAVpoint.
Dread Plate,IV,Raises the power ofDark-typemoves. Changes the moveJudgmenttoDark-type.
Dream Ball,V,Used to catch Pokémon inEntralink.
Dream Mail,III,To be held by a Pokémon for delivery.
Dropped Item,V,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to aboy/girl.
Drowzee Candy,VII,Increase all stats of a member of theDrowzeefamily by oneAVpoint.
DS Sounds,VIII,Changes the music that plays in-game to match the soundtrack of the originalPokémon Diamond and Pearl.
Dubious Disc,IV,A hold item that allowsPorygon2to evolve when traded.
Durin Berry,III,PoffinandPokéblockingredient.
Dusk Ball,IV,A type of Poké Ball that works especially well in dark places such as caves or at night.
Dusk Stone,IV,"Can be used to evolveMisdreavus,Murkrow,Lampent, andDoublade."
Dynamax Band,VIII,Allows the player toDynamaxtheir Pokémon.
Dynamax Candy,VIII,Increases theDynamaxlevel of a Pokémon.
Dynamax Crystals,VIII,"When used at theWatchtower Lair, aPokémon Denat the base of theWatchtower Ruinsin theWild Area, the den will become active with aDynamaxPokémon based on the crystal used."
Dynite Ore,VIII,A secondary form of currency inGalarto access extra content in theCrown Tundra.
Earth Plate,IV,Raises the power ofGround-typemoves. Changes the moveJudgmenttoGround-type.
Eevee Candy,VII,Increase all stats of a member of theEeveefamily by oneAVpoint.
Eevee Cup,IX,One of the cups the player can use during apicnic.
Eevium Z,VII,AllowsEeveeto upgradeLast Resortto the specialZ-MoveExtreme Evoboost.
Egg,IX,An ingredient forsandwiches.
Egg Ticket,II,Can be exchanged for theOdd Egg.
Eggant Berry,III,Curesinfatuationstatus. Will turn into anEnigma Berryif transferred toGeneration IVviaPal Park.
Ein File C,III,DescribesCelebi.
Ein File F,III,Describes additional details onpurification.
Ein File H,III,DescribesHyper Mode.
Ein File P,III,Describespurification.
Ein File S,III,DescribesShadow Pokémon.
Eject Button,V,Forces the holder to switch out when hit by an attack that makes contact. Consumed after use.
Eject Pack,VIII,Forces the holder to switch out when their stats are lowered. Consumed after use.
Ekans Candy,VII,Increase all stats of a member of theEkansfamily by oneAVpoint.
Electabuzz Candy,VII,Increase all stats of a member of theElectabuzzfamily by oneAVpoint.
Electirizer,IV,A hold item that allowsElectabuzzto evolve when traded.
Electric Gem,V,"Increases the power of the holder's firstElectric-typemove by 50%, and is consumed after use."
Electric Memory,VII,MakesSilvallyaElectric-typePokémon and makesMulti-Attackan Electric-type move.
Electric Seed,VII,A one-time use item that raises the holder'sDefenseby one stage upon activation ofElectric Terrain.
Electric Tera Shard,IX,Used to change theTera Typeof a Pokémon toElectrictype.
Electrium Z,VII,Allows a Pokémon to upgrade theirElectric-typedamaging moves to theZ-MoveGigavolt Havocor upgrade their Electric-type status moves into Z-Moves. MakesArceusan Electric-type Pokémon.
Elevator Key,III,Unlocks the elevator inPyrite Bldggiving the player access toThe Under.
Elevator Key,III,Unlocks thePrestige Precept Center's elevator.
Elevator Key,VI,Activates the elevator inLysandre Labs.
Elixir,I,Restores 10 PP of each move of a Pokémon.
Endorsement,VIII,Allows theplayerto participate in theGym Challenge.
Energy Powder,II,"Restores 50 HP, but lowersfriendship.Note:Formatted asEnergyPowderprior toGeneration VI."
Energy Root,II,"Restores 200 HP, but lowers friendship."
Enigma Berry,III,Restores ¼ of a Pokémon's HP after being hit by asuper effective.
Enigma Stone,IV,Allows for the capture of eitherLatiasorLatios.
Enigmatic Card,VII,Allows the player to enterLookerandAnabel's motel room onRoute 8.
Entei Treat,IX,Allows theplayerto encounterEnteiin theTerarium.
Eon Flute,VI,"SummonsLatiasASorLatiosORtosoar in the skyaboveHoenn, and fly to any city, route, or island."
Eon Mail,II,Eevee-printed mail. To be held by a Pokémon for delivery.
Eon Ticket,III,Allows player to accessSouthern Island.
Escape Rope,I,Teleports the player out of a cave or dungeon if the player cannot find the way out.
Eternal Ice,VIII,Used to createSnow Balms.
Ether,I,Restores 10 PP of one move of a Pokémon.
Everstone,II,A hold item that prevents the holder from evolving.
Eviolite,V,Raises the holder'sDefenseandSpecial Defenseby 50% if the holder is capable of evolving.
Exercise Ball,IX,One of the balls the player and their Pokémon can play with during apicnic.
Excite Scent,III,"Reduces heart gauge, increases friendship."
Exeggcute Candy,VII,Increase all stats of a member of theExeggcutefamily by oneAVpoint.
Exp. Candy L,VIII,"Increases a Pokémon'sexperienceby 10,000 Exp. Points."
Exp. Candy M,VIII,"Increases a Pokémon'sexperienceby 3,000 Exp. Points."
Exp. Candy S,VIII,Increases a Pokémon'sexperienceby 800 Exp. Points.
Exp. Candy XL,VIII,"Increases a Pokémon'sexperienceby 30,000 Exp. Points."
Exp. Candy XS,VIII,Increases a Pokémon'sexperienceby 100 Exp. Points.
Exp. Charm,VIII,Increases the amount ofexperiencetheplayer'spartyreceives by 50%.
Exp. Share,I,Aheld itemthat allows Pokémon to gainexperiencewithout battling.Note:NamedExp.Allprior toGeneration II.
Expert Belt,IV,Increases the power ofsuper effectivemoves.
Explorer Kit,IV,A Key Item which can be used to go toSinnohUnderground.
Fab Mail,III,Mail with an extremely decorative design. To be held by a Pokémon for delivery.
Fairium Z,VII,Allows a Pokémon to upgrade theirFairy-typedamaging moves to theZ-MoveTwinkle Tackleor upgrade their Fairy-type status moves into Z-Moves. MakesArceusa Fairy-type Pokémon.
Fairy Feather,IX,Boosts the power of the holder'sFairy-typemoves.
Fairy Gem,VI,"Increases the power of the holder's firstFairy-typemove by 50%, and is consumed after use."
Fairy Memory,VII,MakesSilvallyaFairy-typePokémon and makesMulti-Attacka Fairy-type move.
Fairy Tera Shard,IX,Used to change theTera Typeof a Pokémon toFairytype.
Fame Checker,III,"Records information on famous people, such asGym Leaders."
Fancy Apple,VIII,Ingredient forcurry.
Farfetch'd Candy,VII,Increase all stats of a member of theFarfetch'dfamily by oneAVpoint.
Fashion Case,IV,StoresAccessories.
Fast Ball,II,A type of Poké Ball that works better on Pokémon that try to flee.
